"","id","itemTime","name","type","question","relevance","competence","prior","condition","answer","RT","language","comments","engagement","difficulty","time"
"1","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967584199,"Joshua's delay","llh","Kevin and Cory expected Joshua to arrive earlier.",0,0,1,"test_true",0.97,16980,"english","no",7,2,211197
"2","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967597731,"Joshua's delay","llh","From what Cory said we may conclude that Joshua did not have to both eat lunch and do his homework.",0,0,1,"xor",0.96,13530,"english","no",7,2,211197
"3","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967632949,"Carl's party","hll","Carl's wife liked the music very much.",1,0,0,"test_uncertain",0.5,35214,"english","no",7,2,211197
"4","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967638700,"Carl's party","hll","John knows whether Carl danced passionately with both Sue and Mary.",1,0,0,"comp",0.2,5747,"english","no",7,2,211197
"5","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967648315,"Mrs Gibbs' worry","hhh","Mrs Gibbs is worried about Cindy's health.",1,1,1,"test_false",0.05,9611,"english","no",7,2,211197
"6","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967655803,"Mrs Gibbs' worry","hhh","If Mr Gibbs had a steak, it is likely that he also had a beer.",1,1,1,"prior",0.5,7484,"english","no",7,2,211197
"7","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967663283,"Mrs Gibbs' worry","hhh","If Mr Gibbs had a beer, it is likely that he also had a steak.",1,1,1,"prior",0.5,7476,"english","no",7,2,211197
"8","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967681981,"Harold's pet","lll","Harold is single.",0,0,0,"test_false",0,18692,"english","no",7,2,211197
"9","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967710899,"Harold's pet","lll","Richard knows whether Harold bought both a cat and a dog.",0,0,0,"comp",0.03,28917,"english","no",7,2,211197
"10","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967726011,"Lily's husband","lhl","Eric's doctor told him to stop drinking alcohol.",0,1,0,"test_true",0.94,15108,"english","no",7,2,211197
"11","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967733748,"Lily's husband","lhl","It is important for Lily to know whether her husband drank both whisky and vodka.",0,1,0,"rel",0.9,7735,"english","no",7,2,211197
"12","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967761427,"Gigi's exams","hlh","Gigi studied hard to pass her exams.",1,0,1,"test_true",0.98,27675,"english","no",7,2,211197
"13","A100VV1V2XDQI7:3EQHHY4HQT029L5SL87M5SGHI5LG5C",1445967765699,"Gigi's exams","hlh","If Gigi passed her Chemistry exam, it is likely that she also passed her Physics exam.",1,0,1,"prior",0.84,4268,"english","no",7,2,211197
